requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.07788209617137909,0.0007906510511836037
-1000,0.07858522733052571,0.002673795232939785
-500,0.16922296086947122,0.010586819760324743
0,0.37656741340955097,0.02742445488752371
100,0.33975208799044293,0.025365598475761277
200,0.29585864146550495,0.016417611617035803
300,0.3066216806570689,0.00833690042342018
500,0.20360183219114938,0.01613986718761833
1000,0.16499645511309305,0.007076829647895235
1500,0.1025930717587471,0.008505587200965897
1800,0.05934524287780126,0.0014418449447741925
