requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.07827726751565933,0.0024617531083153464
-1000,0.08797409137090047,0.0017928574152178598
-500,0.17621800800164542,0.008450279006187549
0,0.3435228665669759,0.020813314761308165
100,0.33200820287068683,0.013199668229314636
200,0.30427425106366474,0.01406078842925278
300,0.3070920606454213,0.00931559466609033
500,0.23969136675198874,0.01489517020841689
1000,0.16368204355239868,0.006802315990344979
1500,0.10230329136053722,0.006109454307791018
1800,0.06848165392875671,0.004789481718699388
