requested_lag_ms,r_mean_mean,r_mean_sem
-2000,0.06271896635492642,0.005151129574506707
-1000,0.05996953075130781,0.0016144039046448425
-500,0.13652035097281137,0.010112056908512426
0,0.2590242673953374,0.019029278825704425
100,0.22800302505493164,0.017222215571986284
200,0.25018949309984845,0.03124458772346497
300,0.17580017944176993,0.011175711386006986
500,0.118342620631059,0.005863443238731316
1000,0.10279762993256251,0.015437145778075484
1500,0.07637747128804524,0.011247689933956202
1800,0.04413042962551117,0.002451283049424413
