Running Fold 1/1...
Fold 1: Training on 4511 samples.
  Recon Loss: 100260.62, KLD Loss: 2736.55
      Epoch 50/1000, Total Loss: 104365.44
  Recon Loss: 86351.14, KLD Loss: 4942.89
      Epoch 100/1000, Total Loss: 93765.47
  Recon Loss: 78856.93, KLD Loss: 6544.54
      Epoch 150/1000, Total Loss: 88673.73
  Recon Loss: 74221.25, KLD Loss: 7654.97
      Epoch 200/1000, Total Loss: 85703.70
  Recon Loss: 71234.24, KLD Loss: 8468.67
      Epoch 250/1000, Total Loss: 83937.24
  Recon Loss: 68965.40, KLD Loss: 9095.94
      Epoch 300/1000, Total Loss: 82609.30
  Recon Loss: 67365.51, KLD Loss: 9531.61
      Epoch 350/1000, Total Loss: 81662.93
  Recon Loss: 66274.02, KLD Loss: 9857.65
      Epoch 400/1000, Total Loss: 81060.49
  Recon Loss: 65421.51, KLD Loss: 10111.56
      Epoch 450/1000, Total Loss: 80588.85
  Recon Loss: 64702.88, KLD Loss: 10308.70
      Epoch 500/1000, Total Loss: 80165.94
  Recon Loss: 64131.90, KLD Loss: 10468.51
      Epoch 550/1000, Total Loss: 79834.66
  Recon Loss: 63591.29, KLD Loss: 10592.38
      Epoch 600/1000, Total Loss: 79479.86
  Recon Loss: 63201.90, KLD Loss: 10718.16
      Epoch 650/1000, Total Loss: 79279.14
  Recon Loss: 62684.05, KLD Loss: 10818.94
      Epoch 700/1000, Total Loss: 78912.46
  Recon Loss: 62461.18, KLD Loss: 10887.86
      Epoch 750/1000, Total Loss: 78792.97
  Recon Loss: 62105.40, KLD Loss: 10962.97
      Epoch 800/1000, Total Loss: 78549.85
  Recon Loss: 61776.58, KLD Loss: 11024.97
      Epoch 850/1000, Total Loss: 78314.04
  Recon Loss: 61663.36, KLD Loss: 11097.71
      Epoch 900/1000, Total Loss: 78309.93
  Recon Loss: 61437.17, KLD Loss: 11144.31
      Epoch 950/1000, Total Loss: 78153.63
  Recon Loss: 61007.78, KLD Loss: 11193.84
      Epoch 1000/1000, Total Loss: 77798.54
Latent mu mean: -8.524609438609332e-05
Latent mu std: 0.27170097827911377
