Running Fold 2/5...
Fold 2: Training on 4010 samples.
  Recon Loss: 86613.88, KLD Loss: 2714.76
      Epoch 50/1000, Total Loss: 90686.02
  Recon Loss: 74646.03, KLD Loss: 4678.63
      Epoch 100/1000, Total Loss: 81663.98
  Recon Loss: 69002.92, KLD Loss: 5891.41
      Epoch 150/1000, Total Loss: 77840.02
  Recon Loss: 65732.78, KLD Loss: 6702.72
      Epoch 200/1000, Total Loss: 75786.86
  Recon Loss: 63176.28, KLD Loss: 7405.01
      Epoch 250/1000, Total Loss: 74283.80
  Recon Loss: 61163.22, KLD Loss: 7987.93
      Epoch 300/1000, Total Loss: 73145.11
  Recon Loss: 59651.41, KLD Loss: 8421.51
      Epoch 350/1000, Total Loss: 72283.67
  Recon Loss: 58650.54, KLD Loss: 8737.77
      Epoch 400/1000, Total Loss: 71757.20
  Recon Loss: 57790.62, KLD Loss: 8966.75
      Epoch 450/1000, Total Loss: 71240.73
  Recon Loss: 57139.17, KLD Loss: 9128.03
      Epoch 500/1000, Total Loss: 70831.22
  Recon Loss: 56707.05, KLD Loss: 9269.93
      Epoch 550/1000, Total Loss: 70611.95
  Recon Loss: 56218.91, KLD Loss: 9378.79
      Epoch 600/1000, Total Loss: 70287.09
  Recon Loss: 55902.63, KLD Loss: 9477.67
      Epoch 650/1000, Total Loss: 70119.14
  Recon Loss: 55630.37, KLD Loss: 9560.42
      Epoch 700/1000, Total Loss: 69970.99
  Recon Loss: 55262.24, KLD Loss: 9624.26
      Epoch 750/1000, Total Loss: 69698.64
  Recon Loss: 55131.77, KLD Loss: 9685.30
      Epoch 800/1000, Total Loss: 69659.72
  Recon Loss: 54870.67, KLD Loss: 9726.12
      Epoch 850/1000, Total Loss: 69459.84
  Recon Loss: 54657.26, KLD Loss: 9786.34
      Epoch 900/1000, Total Loss: 69336.77
  Recon Loss: 54438.15, KLD Loss: 9837.72
      Epoch 950/1000, Total Loss: 69194.72
  Recon Loss: 54290.06, KLD Loss: 9880.78
      Epoch 1000/1000, Total Loss: 69111.23
Latent mu mean: -0.0003787534951698035
Latent mu std: 0.27723971009254456
