Running Fold 4/5...
Fold 4: Training on 4011 samples.
  Recon Loss: 89591.38, KLD Loss: 2251.30
      Epoch 50/1000, Total Loss: 92968.33
  Recon Loss: 76386.06, KLD Loss: 4402.82
      Epoch 100/1000, Total Loss: 82990.30
  Recon Loss: 70741.93, KLD Loss: 5523.47
      Epoch 150/1000, Total Loss: 79027.13
  Recon Loss: 66940.65, KLD Loss: 6376.08
      Epoch 200/1000, Total Loss: 76504.77
  Recon Loss: 64155.35, KLD Loss: 7135.36
      Epoch 250/1000, Total Loss: 74858.40
  Recon Loss: 62025.62, KLD Loss: 7761.25
      Epoch 300/1000, Total Loss: 73667.50
  Recon Loss: 60406.14, KLD Loss: 8221.86
      Epoch 350/1000, Total Loss: 72738.91
  Recon Loss: 59252.89, KLD Loss: 8558.36
      Epoch 400/1000, Total Loss: 72090.43
  Recon Loss: 58368.90, KLD Loss: 8813.92
      Epoch 450/1000, Total Loss: 71589.78
  Recon Loss: 57614.28, KLD Loss: 8992.54
      Epoch 500/1000, Total Loss: 71103.09
  Recon Loss: 57188.74, KLD Loss: 9140.84
      Epoch 550/1000, Total Loss: 70900.00
  Recon Loss: 56707.67, KLD Loss: 9259.05
      Epoch 600/1000, Total Loss: 70596.24
  Recon Loss: 56278.43, KLD Loss: 9359.26
      Epoch 650/1000, Total Loss: 70317.32
  Recon Loss: 55976.53, KLD Loss: 9456.36
      Epoch 700/1000, Total Loss: 70161.06
  Recon Loss: 55633.61, KLD Loss: 9524.88
      Epoch 750/1000, Total Loss: 69920.93
  Recon Loss: 55345.27, KLD Loss: 9602.20
      Epoch 800/1000, Total Loss: 69748.57
  Recon Loss: 55147.76, KLD Loss: 9665.19
      Epoch 850/1000, Total Loss: 69645.55
  Recon Loss: 54772.93, KLD Loss: 9735.55
      Epoch 900/1000, Total Loss: 69376.25
  Recon Loss: 54683.92, KLD Loss: 9772.42
      Epoch 950/1000, Total Loss: 69342.55
  Recon Loss: 54444.66, KLD Loss: 9818.94
      Epoch 1000/1000, Total Loss: 69173.06
Latent mu mean: -0.0004333397082518786
Latent mu std: 0.27093976736068726
